"filename", "language", "C++", "C", "comment", "blank", "total"
"c:\Users\YUANLIN\Desktop\Roast Fish\User\Counter.c", "C", 0, 47, 0, 4, 51
"c:\Users\YUANLIN\Desktop\Roast Fish\User\Counter.h", "C++", 21, 0, 0, 2, 23
"c:\Users\YUANLIN\Desktop\Roast Fish\User\HT1621.c", "C", 0, 251, 35, 34, 320
"c:\Users\YUANLIN\Desktop\Roast Fish\User\HT1621.h", "C++", 126, 0, 3, 22, 151
"c:\Users\YUANLIN\Desktop\Roast Fish\User\Key.c", "C", 0, 241, 69, 28, 338
"c:\Users\YUANLIN\Desktop\Roast Fish\User\Key.h", "C++", 133, 0, 1, 15, 149
"c:\Users\YUANLIN\Desktop\Roast Fish\User\Keydef.h", "C++", 35, 0, 19, 12, 66
"c:\Users\YUANLIN\Desktop\Roast Fish\User\Measure.c", "C", 0, 2, 0, 0, 2
"c:\Users\YUANLIN\Desktop\Roast Fish\User\Measure.h", "C++", 5, 0, 3, 1, 9
"c:\Users\YUANLIN\Desktop\Roast Fish\User\PID.c", "C", 0, 165, 83, 56, 304
"c:\Users\YUANLIN\Desktop\Roast Fish\User\PID.h", "C++", 40, 0, 60, 18, 118
"c:\Users\YUANLIN\Desktop\Roast Fish\User\Sys.c", "C", 0, 70, 4, 9, 83
"c:\Users\YUANLIN\Desktop\Roast Fish\User\Sys.h", "C++", 54, 0, 0, 13, 67
"c:\Users\YUANLIN\Desktop\Roast Fish\User\UI.c", "C", 0, 246, 16, 28, 290
"c:\Users\YUANLIN\Desktop\Roast Fish\User\UI.h", "C++", 62, 0, 0, 12, 74
"c:\Users\YUANLIN\Desktop\Roast Fish\User\flash.c", "C", 0, 64, 43, 10, 117
"c:\Users\YUANLIN\Desktop\Roast Fish\User\flash.h", "C++", 8, 0, 0, 0, 8
"Total", "-", 484, 1086, 336, 264, 2170
